rec_id, rec2_id, culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number, family_role
rec-90-dup-0, rec-672-org, eng, m, , , dr, daniel, tanell, nsw, airdz, 03616, 48, dunstan street, , 416 4798102, 219865551, 1, NoRole
rec-282-dup-0, rec-438-org, unk, , 9, 20110801, ms, lauren, aakre, , wanitrna, 02153, 127, macgregor street, , , 217047574, 1, NoRole
rec-478-dup-0, rec-241-org, eng, f, 32, 19880616, , john, abbey, vic, sandhurst east, 03174, 55, farncom bplace, , 618 4899132, 284452154, 7, NoRole
rec-441-org,   rec-80-org, rus, f, 33, 19870508, mrs, saara, khamidouline, qld, monkland, 03912, 2, gilbert street, cameroo, 613 2506747, 259907355, 9, Org-wife
rec-890-dup-0, rec-910-org, ger, , 22, 19980630, dr, william, enge , nsw, matraville, 02480, 103, becker place, naygoondy, 612 7277944, 976522580, 1, NoRole
rec-907-dup-1, rec-538-org, , f, 2 6, 199 40915, , genevieve, white, wa, ravensthorpe, 03181, 1, caley crescent, , 618 2161339, 572112788, 1, NoRole
rec-918-dup-1, rec-311-org, usa, n, , 19170203, , matthew, michael, qld, tarang nba, 04301, 212, winter street, aird, 613 6199023, 148287293, 0, NoRole
rec-911-dup-1, rec-750-org, chi, m, 31, 19891210, ms, kharlotte, tou, sa, hyde park, 03072, 2, clive steele avenue, heatland cvn park, 617 9857449, 354844262, 8, Org-Household
rec-17-dup-0, rec-671-org, jap, f, 10, 20100828, , xarlotte, uemura, nsw, gulargambone, 03551, 36, jidaway street, piringa, 612 2890168, 711445386, 4, NoRole
rec-207-dup-1, rec-525-org, nor, m, 13, 20070307, , thoresen, matteus, qld, chuwar, 02102, 6, deasland place, gummy gully, 613 8409525, 703560230, 5, NoRole
rec-1022-org,   rec-829-org, ind, f, 33, 19870615, , phoebe, pyara, vic, woodside, 03214, 4, power street, , 618 1781951, 620480676, 8, NoRole
rec-658-org,   rec-101-org, chi, m, 36, 19841026, dr, matthew, pak, nsw, raglan, 04169, 70, walker crescent, , 612 8915418, 157840221, 5, NoRole
rec-563-dup-1, rec-652-org, chi, , , 19600401, , kate lyn, jo, ql d, cobbs hill, 02346, 46, tom roberts avenue, , 613 7241007, 335307439, 0, NoRole
rec-215-org,   rec-569-org, rom, f, 10, , , grace, amanar, , pearce, 03888, 380, davis street, , 708 0797828, 224382462, 0, NoRole
