id|onmlast|onmfirst|onmtitle|gender|dob|ssn|stline1|stline2|city|state|zipcode|phone|
rec-90-dup-0|tanell|daniel|dr|m||219865551|48 dunstan street||airdz|nsw|03616|416 4798102|
rec-282-dup-0|aakre|lauren|ms||20110801|217047574|127 macgregor street||wanitrna||02153||
rec-478-dup-0|abbey|john||f|19880616|284452154|55 farncom bplace||sandhurst east|vic|03174|618 4899132|
rec-441-org|khamidouline|saara|mrs|f|19870508|259907355|2 gilbert street|cameroo|monkland|qld|03912|613 2506747|
rec-890-dup-0|enge|william|dr||19980630|976522580|103 becker place|naygoondy|matraville|nsw|02480|612 7277944|
rec-907-dup-1|white|genevieve||f|199 40915|572112788|1 caley crescent||ravensthorpe|wa|03181|618 2161339|
rec-918-dup-1|michael|matthew||n|19170203|148287293|212 winter street|aird|tarang nba|qld|04301|613 6199023|
rec-911-dup-1|tou|kharlotte|ms|m|19891210|354844262|2 clive steele avenue|heatland cvn park|hyde park|sa|03072|617 9857449|
rec-17-dup-0|uemura|xarlotte||f|20100828|711445386|36 jidaway street|piringa|gulargambone|nsw|03551|612 2890168|
rec-207-dup-1|matteus|thoresen||m|20070307|703560230|6 deasland place|gummy gully|chuwar|qld|02102|613 8409525|
rec-1022-org|pyara|phoebe||f|19870615|620480676|4 power street||woodside|vic|03214|618 1781951|
rec-658-org|pak|matthew|dr|m|19841026|157840221|70 walker crescent||raglan|nsw|04169|612 8915418|
rec-563-dup-1|jo|kate lyn|||19600401|335307439|46 tom roberts avenue||cobbs hill|ql d|02346|613 7241007|
rec-215-org|amanar|grace||f||224382462|380 davis street||pearce||03888|708 0797828|
rec-578-dup-1|straw|gianni||f|19820727|542114455|1 jindivi k place||macclesfield|vic|03044|618 0104507|
rec-790-org|christenson|caleb|ms|f|20111102|508704105|88 majura avenue||broome|vic|03793|708 2894858|
rec-563-org|jo|katelyn|||19600401|335307439|46 tom roberts avenue||cobbs hill|qld|02346|613 7241007|
rec-766-dup-0|zchwanke|ale|dr|m|19930316|656711020|2 shannon circuit||boyne valley|qld|03169|613 5588338|
rec-223-org|mackenzie|molly|ms|f|19950331|412870243|425 william hudson crescent||kandanga creek|qld|06065|613 3418422|
rec-532-dup-0|nidhi|lachlan||f|19860113|190511842|88 mura close||kem psey|nsw|04557|612 0985949|
rec-19-org|strawbridge|mackenzi|dr||19871202|376982822|93 apsley place||north haven||04871|708 0860567|
rec-684-org|oakley|hamish||f|19120821|727856097|2 dunstan street||vermont|vic|03840|618 0893615|
rec-139-dup-0|robert|chelsea|ms||19840924|247606307|20 cadell street|apple cottage|oolmeah|qld|04614|613 5261468|
rec-111-org|mallon|chelsea|ms||19950729|556141918|10 livingston avenue||katunga|vic|02652|618 9758173|
rec-479-dup-0|poell|mitchell|ms|f|19850117|622229503|106 darcy close||franxton south|vic|03023|708 5920316|
rec-578-org|straw|gianni||f|19820727|542114455|12 jindivik place||macclesfield|vic|03044|618 0104507|
rec-846-dup-1|sempers|thomas||m|19910930|754826 563|32 tewksburycircuit|clonturkle|hotham hill|vic|03051|618 9185599|
rec-1036-org|aakre|joshua|mrs|f|19890220|315836962|27 ham place|rowethorpe|toowong|vic|03034|618 9709099|
rec-599-org|ramic|samantha||f|19860813|969016016|5 macalister crescent|mountainside|roseworthy|sa|04741|617 5485955|
rec-557-org|budiman|emiily|ms|f|19510809|247727798|2 mcshane place||toorak||04744|416 5999980|
rec-145-dup-0|duran|cheryle|ms|f|19890622|277525 67|192 stapyltonstreet|churingal|9reenway|act|02480|7087727184|
rec-85-dup-1|jo eph|sophie||f|19981206|850130681|4 mugga  ane||waitchie|vic||618 3918905|
rec-118-org|strawbridge|matthew||m|19880307|908098759|14 chinner crescent|st francis vlge|willawarrin|nsw|05052|612 2711837|
rec-110-org|scogin|jordan|||19921102|654452494|23 ferguson place||narrabeen|nsw|02281|612 7949755|
rec-451-dup-0|merricks|charli||f|19951217|262565346|117 coppin place||pinkerton plains|ja|02170|617 8216285|
rec-464-dup-0|rowlands|jade|mr|f|19960405|831839042|4 de gillern place|ashkrove farms|gunneda|nsw|02135|612 5421225|
rec-215-dup-0|amanar|||f||224382462|380 davis street||pearce||03888|708 0797828|
rec-408-org|theodorakis|kai|ms||19930719|971125144|139 cripps place|greenacres caravan park|laidley|qld|02143|613 4589152|
rec-147-dup-0|thundayal|lewis||f|19930620|223972204|278 gaby place||strattale|vic|04703|618 8325325|
rec-192-org|hot|charlotte|ms|m|19200829|558344743|112 southwood retreat||lockyer|qld|05108|613 7807971|
rec-396-dup-0|plichta|christian||m|2008 0721|472060896|75 parkhill 5treet|milly milly|brighton-le-sands|nsw|02615|612 4109310|
